tag,dataset,lang,n_pairs,gallery_size,n_galleries,mean_diag_cos,median_diag_cos,p10_diag_cos,p90_diag_cos,i2t_r@1,i2t_r@5,i2t_r@10,t2i_r@1,t2i_r@5,t2i_r@10,source_dir
mc2_e16,bloom,ceb,2951,2951,1,0.29696953296661377,0.2979201376438141,0.27836355566978455,0.31396669149398804,0.030498135834932327,0.09251101315021515,0.1257200986146927,0.02134869620203972,0.0721789225935936,0.106404609978199,mc2_e16
mc2_e16,bloom,fil,558,558,1,0.3007229268550873,0.3018640875816345,0.2795795798301697,0.32184794545173645,0.12544803321361542,0.2849462330341339,0.40860214829444885,0.11648745834827423,0.2455197125673294,0.35125449299812317,mc2_e16
mc2_e16,bloom,id,2169,2169,1,0.3069308400154114,0.30790773034095764,0.284348726272583,0.32870784401893616,0.03688335791230202,0.12816967070102692,0.20654679834842682,0.031811896711587906,0.10603965073823929,0.17427386343479156,mc2_e16
mc2_e16,bloom,km,308,308,1,0.31099095940589905,0.3130025565624237,0.2949572503566742,0.3254469335079193,0.019480518996715546,0.055194806307554245,0.11038961261510849,0.003246753243729472,0.048701297491788864,0.08766233921051025,mc2_e16
mc2_e16,bloom,ms,102,102,1,0.31427285075187683,0.31770601868629456,0.2883410155773163,0.34036391973495483,0.20588235557079315,0.5196078419685364,0.6960784196853638,0.22549019753932953,0.5490196347236633,0.7549019455909729,mc2_e16
mc2_e16,bloom,my,419,419,1,0.29136884212493896,0.2974270284175873,0.25188350677490234,0.32098665833473206,0.00954653974622488,0.040572792291641235,0.07637231796979904,0.0071599045768380165,0.021479712799191475,0.052505966275930405,mc2_e16
mc2_e16,bloom,th,3009,3009,1,0.31246620416641235,0.31685391068458557,0.29436764121055603,0.3252340257167816,0.005317381117492914,0.014622798189520836,0.02592223323881626,0.0019940179772675037,0.008973080664873123,0.016616815701127052,mc2_e16
mc2_e16,bloom,vi,22,22,1,0.31306618452072144,0.30903178453445435,0.2931596040725708,0.3378056585788727,0.09090909361839294,0.22727273404598236,0.4545454680919647,0.1818181872367859,0.40909090638160706,0.5454545617103577,mc2_e16
mc2_e16,cgoe,id,223098,10000,5,0.29349377751350403,0.29687657952308655,0.25554463267326355,0.32649827003479004,0.3621599912643433,0.604259991645813,0.6934400200843811,0.350900000333786,0.5859000086784363,0.6712200045585632,mc2_e16
mc2_e16,cgoe,jv,39747,10000,5,0.3017525374889374,0.3049706220626831,0.26848727464675903,0.3313908874988556,0.34521999955177307,0.6172599792480469,0.7083399891853333,0.3566999971866608,0.6046000003814698,0.6899399876594543,mc2_e16
mc2_e16,cgoe,ms,161397,10000,5,0.29048779606819153,0.2944794297218323,0.24959151446819305,0.3251730501651764,0.37039999961853026,0.5942799925804139,0.6742200136184693,0.3560800015926361,0.5746800065040588,0.6531799793243408,mc2_e16
mc2_e16,cgoe,su,21238,10000,5,0.30892786383628845,0.3122432231903076,0.2783626317977905,0.33517423272132874,0.37966000437736513,0.690939998626709,0.7798799872398376,0.36610000133514403,0.6392400026321411,0.7306599974632263,mc2_e16
mc2_e16,cgoe,th,58433,10000,5,0.2711625397205353,0.2720726728439331,0.23213668167591095,0.3083353042602539,0.06779999881982804,0.1705800026655197,0.23814000189304352,0.06154000088572502,0.15553999841213226,0.21441999971866607,mc2_e16
mc2_e16,cgoe,vi,199562,10000,5,0.2865203619003296,0.28944963216781616,0.24531856179237366,0.3233305513858795,0.30968000292778014,0.5179800033569336,0.6011199951171875,0.30459999442100527,0.50382000207901,0.5804199934005737,mc2_e16
mc2_e16,wit,id,146744,10000,5,0.29497048258781433,0.29771682620048523,0.2635892629623413,0.3222694396972656,0.29211999773979186,0.5891200065612793,0.711240005493164,0.3097800016403198,0.5973200082778931,0.709659993648529,mc2_e16
mc2_e16,wit,jv,11926,10000,5,0.2968299686908722,0.2998688220977783,0.26608791947364807,0.3231501579284668,0.26759999990463257,0.554200005531311,0.6701600074768066,0.3005400002002716,0.5624799966812134,0.6630199909210205,mc2_e16
mc2_e16,wit,ms,59504,10000,5,0.2953169345855713,0.2978817820549011,0.26502999663352966,0.32242652773857117,0.2935599982738495,0.5962199926376343,0.7170000076293945,0.31172000169754027,0.6037199974060059,0.716539990901947,mc2_e16
mc2_e16,wit,my,9941,9941,1,0.2573542296886444,0.2510451674461365,0.21192342042922974,0.311451256275177,0.10843979567289352,0.1828789860010147,0.21989738941192627,0.10552258044481277,0.18378432095050812,0.22341816127300262,mc2_e16
mc2_e16,wit,th,55594,10000,5,0.27991530299186707,0.28322115540504456,0.2403160035610199,0.31414610147476196,0.12678000181913376,0.31299999356269836,0.42562000155448915,0.1292199969291687,0.3135999977588654,0.4176800072193146,mc2_e16
mc2_e16,wit,vi,203979,10000,5,0.29198113083839417,0.294939249753952,0.26065030694007874,0.3200267255306244,0.23014000058174133,0.4930199980735779,0.6170199990272522,0.2523599982261658,0.5116400003433228,0.6254000067710876,mc2_e16
mc2_e24,bloom,ceb,2951,2951,1,0.3102180063724518,0.3113677501678467,0.291970431804657,0.32632845640182495,0.16536767780780792,0.4012199342250824,0.5398170351982117,0.14198577404022217,0.37478819489479065,0.504574716091156,mc2_e24
mc2_e24,bloom,fil,558,558,1,0.3111136257648468,0.3124755024909973,0.2942770719528198,0.32697805762290955,0.3584229350090027,0.7347670197486877,0.8709677457809448,0.3476702570915222,0.7311828136444092,0.8637992739677429,mc2_e24
mc2_e24,bloom,id,2169,2169,1,0.3152886629104614,0.31675776839256287,0.29813581705093384,0.3308286666870117,0.13462425768375397,0.41724297404289246,0.5703089237213135,0.1558321863412857,0.4015675485134125,0.5329645276069641,mc2_e24
mc2_e24,bloom,km,308,308,1,0.30682292580604553,0.30668359994888306,0.29538610577583313,0.31782305240631104,0.05844155699014664,0.20129869878292084,0.30519479513168335,0.02922077849507332,0.13636364042758942,0.22727273404598236,mc2_e24
mc2_e24,bloom,ms,102,102,1,0.31769534945487976,0.3192877173423767,0.30326515436172485,0.33056142926216125,0.4117647111415863,0.7941176295280457,0.9019607901573181,0.37254902720451355,0.7352941036224365,0.8725489974021912,mc2_e24
mc2_e24,bloom,my,419,419,1,0.30526044964790344,0.3083988428115845,0.2828664183616638,0.32243213057518005,0.03579952195286751,0.11694511026144028,0.21718376874923706,0.03818615898489952,0.12649165093898773,0.21002386510372162,mc2_e24
mc2_e24,bloom,th,3009,3009,1,0.30740886926651,0.3083581030368805,0.29337283968925476,0.3207058906555176,0.014290462248027325,0.04852110520005226,0.07942838221788406,0.017281489446759224,0.04553007706999779,0.06713193655014038,mc2_e24
mc2_e24,bloom,vi,22,22,1,0.3182813823223114,0.31887611746788025,0.29709091782569885,0.3420875370502472,0.09090909361839294,0.40909090638160706,0.5454545617103577,0.22727273404598236,0.5909090638160706,0.7272727489471436,mc2_e24
mc2_e24,cgoe,id,223098,10000,5,0.30451247096061707,0.30695343017578125,0.2815322279930115,0.3241899907588959,0.6713399887084961,0.8910200119018554,0.9340399980545044,0.6686999917030334,0.8735599994659424,0.9161399960517883,mc2_e24
mc2_e24,cgoe,jv,39747,10000,5,0.30467385053634644,0.307050883769989,0.28169170022010803,0.3244599997997284,0.5324600100517273,0.8386599898338318,0.9029600024223328,0.5680999875068664,0.8385800004005433,0.8942799925804138,mc2_e24
mc2_e24,cgoe,ms,161397,10000,5,0.3021361231803894,0.3049418330192566,0.27819496393203735,0.3222241699695587,0.6823799967765808,0.8855599999427796,0.9264399886131287,0.6737199902534485,0.872759997844696,0.9145799994468689,mc2_e24
mc2_e24,cgoe,su,21238,10000,5,0.3067224323749542,0.308474063873291,0.286220908164978,0.3251762092113495,0.5335599899291992,0.8720999956130981,0.9261600136756897,0.549780011177063,0.8578199982643128,0.9128199934959411,mc2_e24
mc2_e24,cgoe,th,58433,10000,5,0.2961053252220154,0.299469530582428,0.2650655508041382,0.32187145948410034,0.29365999698638917,0.5660199999809266,0.6668800115585327,0.3,0.5550400018692017,0.6440000057220459,mc2_e24
mc2_e24,cgoe,vi,199562,10000,5,0.2998669445514679,0.30290815234184265,0.2737388014793396,0.3215354382991791,0.6130400061607361,0.8457000017166137,0.8977800011634827,0.6305999994277954,0.8359599947929383,0.885699987411499,mc2_e24
mc2_e24,wit,id,146744,10000,5,0.3076331615447998,0.3093889355659485,0.28888270258903503,0.3244698941707611,0.5781400084495545,0.8829400062561035,0.9391800045967102,0.6212999820709229,0.8808399796485901,0.9315199851989746,mc2_e24
mc2_e24,wit,jv,11926,10000,5,0.30944809317588806,0.31136709451675415,0.2914579212665558,0.3251974880695343,0.5098600029945374,0.8497199892997742,0.9151999831199646,0.5924999952316284,0.8491600036621094,0.9047399878501892,mc2_e24
mc2_e24,wit,ms,59504,10000,5,0.30764147639274597,0.30932825803756714,0.2893087565898895,0.32429444789886475,0.5656000018119812,0.8817999839782715,0.94132000207901,0.6112000107765198,0.876199996471405,0.9321799993515014,mc2_e24
mc2_e24,wit,my,9941,9941,1,0.2909039855003357,0.29579752683639526,0.2535889446735382,0.31995537877082825,0.1804647445678711,0.3721959590911865,0.48335176706314087,0.2665727734565735,0.4626295268535614,0.5471280813217163,mc2_e24
mc2_e24,wit,th,55594,10000,5,0.30406805872917175,0.3060876429080963,0.2826941907405853,0.3229462504386902,0.38080000281333926,0.7431600093841553,0.8580199956893921,0.45098000168800356,0.7619799971580505,0.8529199957847595,mc2_e24
mc2_e24,wit,vi,203979,10000,5,0.30521705746650696,0.30720341205596924,0.28483128547668457,0.3231971561908722,0.4826800048351288,0.8122399926185608,0.891319990158081,0.5542999982833863,0.8245799899101257,0.8875199913978576,mc2_e24
mc2_e32,bloom,ceb,2951,2951,1,0.3199353516101837,0.32118967175483704,0.30619335174560547,0.33278295397758484,0.3043036162853241,0.6699423789978027,0.7956624627113342,0.2944764494895935,0.6387665271759033,0.7594035863876343,mc2_e32
mc2_e32,bloom,fil,558,558,1,0.32216498255729675,0.3231320083141327,0.3088921010494232,0.3353749215602875,0.5340501666069031,0.8960573673248291,0.9605734944343567,0.5716845989227295,0.8942652344703674,0.9462365508079529,mc2_e32
mc2_e32,bloom,id,2169,2169,1,0.3232419490814209,0.32392922043800354,0.3099313974380493,0.3363908529281616,0.2568003833293915,0.5933610200881958,0.7547256946563721,0.26325497031211853,0.5772245526313782,0.7169202566146851,mc2_e32
mc2_e32,bloom,km,308,308,1,0.3195975124835968,0.3197575807571411,0.30745968222618103,0.3308337330818176,0.1428571492433548,0.4188311696052551,0.6038960814476013,0.09090909361839294,0.3311688303947449,0.5,mc2_e32
mc2_e32,bloom,ms,102,102,1,0.32707107067108154,0.32770469784736633,0.3160402178764343,0.336597740650177,0.5098039507865906,0.9313725233078003,0.9901960492134094,0.46078431606292725,0.843137264251709,0.9313725233078003,mc2_e32
mc2_e32,bloom,my,419,419,1,0.32204410433769226,0.3230835795402527,0.3048546612262726,0.335907906293869,0.08353222161531448,0.28162291646003723,0.412887841463089,0.10501193255186081,0.3078759014606476,0.4295942783355713,mc2_e32
mc2_e32,bloom,th,3009,3009,1,0.32199811935424805,0.3224363923072815,0.3095353841781616,0.33418911695480347,0.027251578867435455,0.0903954803943634,0.1359255611896515,0.03688933327794075,0.10800930857658386,0.15819208323955536,mc2_e32
mc2_e32,bloom,vi,22,22,1,0.3344710171222687,0.33337485790252686,0.31816768646240234,0.3569556474685669,0.13636364042758942,0.3181818127632141,0.6818181872367859,0.13636364042758942,0.5454545617103577,0.8181818127632141,mc2_e32
mc2_e32,cgoe,id,223098,10000,5,0.3062250018119812,0.3078634738922119,0.2874372899532318,0.3231970965862274,0.7512400031089783,0.939959990978241,0.9677000045776367,0.7382000088691711,0.9194000124931335,0.9503200054168701,mc2_e32
